feature,non_missing,missing,missing_pct,mean,std,min,max
nonzero_seg_frames,120,0,0.0,114.1,41.17015,64.0,180.0
total_mask_pixels,120,0,0.0,11008926.71667,7794965.15075,4170244.0,25951807.0
volume_proxy_mm3,120,0,0.0,9165902.58769,7113796.22272,3130808.4181,27955355.82028
tumor_volume_proxy_cm3,120,0,0.0,9165.90259,7113.79622,3130.80842,27955.35582
mean_mask_pixels_per_nonzero_frame,120,0,0.0,88876.49709,35699.85687,64850.2125,147455.80556
row_spacing_mm,120,0,0.0,0.73055,0.12309,0.5469,0.98958
col_spacing_mm,120,0,0.0,0.73055,0.12309,0.5469,0.98958
slice_thickness_mm,120,0,0.0,1.64917,0.552,1.0,2.5
matched_nonzero_frames,120,0,0.0,114.1,41.17015,64.0,180.0
shape_matched_frames,120,0,0.0,48.55,69.9935,0.0,176.0
shape_match_fraction,120,0,0.0,0.35833,0.48152,0.0,1.0
mean_abs_z_error_mm,120,0,0.0,0.16763,0.42908,0.0,1.2791
median_abs_z_error_mm,120,0,0.0,0.17054,0.43674,0.0,1.3
max_abs_z_error_mm,120,0,0.0,0.36222,0.9393,0.0,4.1
pct_frames_within_1mm,120,0,0.0,0.91995,0.20497,0.38806,1.0
pct_frames_within_2mm,120,0,0.0,0.9734,0.06814,0.79104,1.0
pct_frames_within_5mm,120,0,0.0,1.0,0.0,1.0,1.0
