candidate_rank,file_path,file_exists,patient_column_from_phase4,label_column_from_phase4,patient_overlap_from_phase4,usable_labeled_patients_from_phase4,n_positive_from_phase4,n_negative_from_phase4,status_from_phase4,read_status,n_rows,n_columns,label_like_columns_found,all_columns_preview,label_value_preview
1,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase3d_verified_biomarker_table.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,120,25,biomarker_tier; nonzero_seg_frames; volume_proxy_mm3; tumor_volume_proxy_cm3; mean_mask_pixels_per_nonzero_frame; matched_nonzero_frames; mean_abs_z_error_mm; median_abs_z_error_mm; max_abs_z_error_mm,patient_folder; study_folder; seg_series_uid; matched_mr_series_uid; link_status; link_confidence; status; biomarker_tier; nonzero_seg_frames; total_mask_pixels; volume_proxy_mm3; tumor_volume_proxy_cm3; mean_mask_pixels_per_nonzero_frame; row_spacing_mm; col_spacing_mm; slice_thickness_mm; matched_nonzero_frames; shape_matched_frames; shape_match_fraction; mean_abs_z_error_mm; median_abs_z_error_mm; max_abs_z_error_mm; pct_frames_within_1mm; pct_frames_within_2mm; pct_frames_within_5mm,"biomarker_tier => z_verified_shape_warning:61, strict_verified:43, geometry_warning:16 || nonzero_seg_frames => 80:34, 160:25, 134:15, 64:13, 176:12, 72:10, 124:3, 108:2 || volume_proxy_mm3 => 4621308.91883594:1, 4622872.8069962:1, 4349994.068919499:1, 4355192.137367999:1, 5131363.287938689:1, 5128004.874428193:1, 5131675.420282444:1, 5131690.646250432:1 || tumor_volume_proxy_cm3 => 4621.30891883594:1, 4622.8728069962:1, 4349.994068919499:1, 4355.192137367999:1, 5131.363287938689:1, 5128.004874428193:1, 5131.675420282444:1, 5131.690646250432:1 || mean_mask_pixels_per_nonzero_frame => 65490.4625:1, 65512.625:1, 65451.9875:1, 65530.2:1, 65530.48611111111:1, 65487.59722222222:1, 65534.47222222222:1, 65534.666666666664:1 || matched_nonzero_frames => 80:34, 160:25, 134:15, 64:13, 176:12, 72:10, 124:3, 108:2 || mean_abs_z_error_mm => 0.0:52, 4.1666666666322847e-08:2, 9.518738635608236e-07:2, 5.0000000000050006e-08:2, 9.519164774270747e-07:2, 2.7027777777928936e-05:1, 1.041666666667323e-06:1, 2.5555555555207186e-06:1 || median_abs_z_error_mm => 0.0:71, 1.2999999999999972:7, 0.000399999999999:5, 0.0001999999999995:3, 9.519499997168168e-07:3, 0.0002999999999993:2, 9.518499997085428e-07:2, 9.518500000416096e-07:1"
2,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase3c_geometry_matching_qc.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,120,27,nonzero_seg_frames; volume_proxy_mm3; nonzero_frames_with_seg_z; matched_nonzero_frames; mean_abs_z_error_mm; median_abs_z_error_mm; max_abs_z_error_mm; example_overlay_created,patient_folder; study_folder; seg_series_uid; matched_mr_series_uid; link_status; link_confidence; status; seg_frames; seg_rows; seg_cols; nonzero_seg_frames; total_mask_pixels; row_spacing_mm; col_spacing_mm; slice_thickness_mm; volume_proxy_mm3; mr_slices_with_z; nonzero_frames_with_seg_z; matched_nonzero_frames; shape_matched_frames; mean_abs_z_error_mm; median_abs_z_error_mm; max_abs_z_error_mm; pct_frames_within_1mm; pct_frames_within_2mm; pct_frames_within_5mm; example_overlay_created,"nonzero_seg_frames => 80:34, 160:25, 134:15, 64:13, 176:12, 72:10, 124:3, 108:2 || volume_proxy_mm3 => 4621308.91883594:1, 4622872.8069962:1, 4349994.068919499:1, 4355192.137367999:1, 5131363.287938689:1, 5128004.874428193:1, 5131675.420282444:1, 5131690.646250432:1 || nonzero_frames_with_seg_z => 80:34, 160:25, 134:15, 64:13, 176:12, 72:10, 124:3, 108:2 || matched_nonzero_frames => 80:34, 160:25, 134:15, 64:13, 176:12, 72:10, 124:3, 108:2 || mean_abs_z_error_mm => 0.0:52, 4.166666666632284e-08:2, 9.518738635608236e-07:2, 5.0000000000050006e-08:2, 9.519164774270747e-07:2, 2.7027777777928936e-05:1, 1.041666666667323e-06:1, 2.5555555555207186e-06:1 || median_abs_z_error_mm => 0.0:71, 1.2999999999999972:7, 0.00039999999999906777:5, 0.00019999999999953388:3, 9.519499997168168e-07:3, 0.0002999999999993008:2, 9.518499997085428e-07:2, 9.518500000416097e-07:1 || max_abs_z_error_mm => 0.0:52, 1.9037999976490028e-06:6, 3.0000000000640625e-05:3, 2.9999999999752447e-06:3, 2.8999999999999986:3, 1.0000000000509601e-05:2, 0.0004000000000008441:2, 0.00010000000000331966:2 || example_overlay_created => blank:119, yes:1"
3,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/seg_series_metadata.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,2688,22,NumberOfFrames; segment_numbers,patient_folder; study_folder; series_folder; series_path; first_dcm; seg_series_uid_inventory; seg_study_uid_inventory; dicom_read_status; PatientID; SOPInstanceUID; seg_series_uid; seg_study_uid; FrameOfReferenceUID; Rows; Columns; NumberOfFrames; ContentDate; ContentTime; segment_numbers; segment_labels; referenced_series_uids; n_referenced_series_uids,"NumberOfFrames => 80:747, 160:423, 134:316, 72:242, 64:232, 66:216, 144:93, 176:91 || segment_numbers => 1:2688"
4,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/seg_mr_link_table.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,2688,21,seg_number_of_frames; matched_mr_protocol_name,patient_folder; study_folder; seg_series_path; seg_first_dcm; seg_series_uid; seg_study_uid; seg_frame_of_reference_uid; seg_rows; seg_columns; seg_number_of_frames; segment_labels; referenced_series_uids; link_status; link_confidence; matched_mr_series_uid; matched_mr_study_uid; matched_mr_series_path; matched_mr_first_dcm; matched_mr_series_description; matched_mr_protocol_name; matched_mr_dcm_count,"seg_number_of_frames => 80:747, 160:423, 134:316, 72:242, 64:232, 66:216, 144:93, 176:91 || matched_mr_protocol_name => blank:2688"
5,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase3a_feature_precheck.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,2688,24,matched_mr_protocol_name; nonzero_frames; volume_proxy_mm3,patient_folder; study_folder; seg_series_uid; seg_first_dcm; seg_series_path; link_status; link_confidence; matched_mr_series_uid; matched_mr_series_path; matched_mr_first_dcm; matched_mr_series_description; matched_mr_protocol_name; matched_mr_dcm_count; segment_labels; has_seg_file; has_mr_file; matched_mr_dcm_count_num; decode_status; n_frames; nonzero_frames; total_mask_pixels; volume_proxy_mm3; segment_pixel_counts; phase3_ready_basic,"matched_mr_protocol_name => blank:2688 || nonzero_frames => blank:2568, 80:34, 160:25, 134:15, 64:13, 176:12, 72:10, 124:3 || volume_proxy_mm3 => blank:2568, 4622872.8069962:1, 4349994.068919499:1, 4355192.137367999:1, 5131363.28793869:1, 5128004.874428194:1, 5131675.420282444:1, 5131690.646250432:1"
6,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase3b_tumor_peritumor_features_pilot.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,2688,23,matched_mr_protocol_name; nonzero_frames; volume_proxy_mm3,patient_folder; study_folder; seg_series_uid; seg_first_dcm; seg_series_path; link_status; link_confidence; matched_mr_series_uid; matched_mr_series_path; matched_mr_first_dcm; matched_mr_series_description; matched_mr_protocol_name; matched_mr_dcm_count; segment_labels; has_seg_file; has_mr_file; phase3_ready_basic; decode_status; n_frames; nonzero_frames; total_mask_pixels; volume_proxy_mm3; segment_pixel_counts,"matched_mr_protocol_name => blank:2688 || nonzero_frames => blank:2568, 80:34, 160:25, 134:15, 64:13, 176:12, 72:10, 124:3 || volume_proxy_mm3 => blank:2568, 4622872.8069962:1, 4349994.068919499:1, 4355192.137367999:1, 5131363.28793869:1, 5128004.874428194:1, 5131675.420282444:1, 5131690.646250432:1"
7,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/candidate_mr_series_best_per_patient.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,719,24,ProtocolName; Manufacturer,patient_folder; study_folder; series_folder; series_path; first_dcm; dcm_count; folder_modality_prefix; PatientID; StudyInstanceUID; SeriesInstanceUID; Modality; SeriesDescription; ProtocolName; StudyDate; AcquisitionDate; AcquisitionTime; Manufacturer; BodyPartExamined; MagneticFieldStrength; SliceThickness; RepetitionTime; EchoTime; FlipAngle; candidate_score,"ProtocolName => blank:719 || Manufacturer => GE MEDICAL SYSTEMS:426, SIEMENS:210, Philips Medical Systems:82, Philips Healthcare:1"
8,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/candidate_mr_series_top3_per_patient.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,2157,24,ProtocolName; Manufacturer,patient_folder; study_folder; series_folder; series_path; first_dcm; dcm_count; folder_modality_prefix; PatientID; StudyInstanceUID; SeriesInstanceUID; Modality; SeriesDescription; ProtocolName; StudyDate; AcquisitionDate; AcquisitionTime; Manufacturer; BodyPartExamined; MagneticFieldStrength; SliceThickness; RepetitionTime; EchoTime; FlipAngle; candidate_score,"ProtocolName => blank:2157 || Manufacturer => GE MEDICAL SYSTEMS:1278, SIEMENS:630, Philips Medical Systems:247, Philips Healthcare:2"
9,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/ispy2_series_inventory.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,32411,23,ProtocolName; Manufacturer,patient_folder; study_folder; series_folder; series_path; first_dcm; dcm_count; folder_modality_prefix; PatientID; StudyInstanceUID; SeriesInstanceUID; Modality; SeriesDescription; ProtocolName; StudyDate; AcquisitionDate; AcquisitionTime; Manufacturer; BodyPartExamined; MagneticFieldStrength; SliceThickness; RepetitionTime; EchoTime; FlipAngle,"ProtocolName => blank:32411 || Manufacturer => GE MEDICAL SYSTEMS:19819, SIEMENS:10215, Philips Medical Systems:2342, Philips Healthcare:22, 0000000:13"
10,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/seg_mask_qc_features.csv,True,patient_folder,,35,0,0,0,no_patient_or_label_column,read_ok,120,17,nonzero_frames; volume_proxy_mm3; segment_nonzero_frame_counts,patient_folder; study_folder; seg_series_uid; seg_series_path; first_dcm; decode_status; n_frames; rows; columns; nonzero_frames; total_mask_pixels; row_spacing_mm; col_spacing_mm; slice_thickness_mm; volume_proxy_mm3; segment_pixel_counts; segment_nonzero_frame_counts,"nonzero_frames => 80:34, 160:25, 134:15, 64:13, 176:12, 72:10, 124:3, 108:2 || volume_proxy_mm3 => 4621308.918835941:1, 4622872.8069962:1, 4349994.068919499:1, 4355192.137367999:1, 5131363.28793869:1, 5128004.874428194:1, 5131675.420282444:1, 5131690.646250432:1 || segment_nonzero_frame_counts => 1:80:34, 1:160:25, 1:134:15, 1:64:13, 1:176:12, 1:72:10, 1:124:3, 1:108:2"
