file,exists,tracked_by_git_after_push,size_mb
FINAL_STATUS.md,yes,yes,0.0004
README.md,yes,yes,0.0074
reports/Dashboard.md,yes,yes,0.0085
reports/Final_GitHub_Output_Index.md,yes,yes,0.0012
reports/Stage10I_Post_Release_Polish_Report.md,yes,yes,0.0008
reports/final_package/FINAL_HANDOFF_READY.md,yes,yes,0.0008
reports/final_package/ISPY2_FTV_pCR_Final_Report.docx,yes,yes,1.5917
reports/final_package/ISPY2_FTV_pCR_Final_Presentation.pptx,yes,yes,1.6532
reports/final_package/ISPY2_FTV_pCR_Professor_Review_Bundle.zip,yes,yes,5.0465
reports/final_package/Final_Send_Message_to_Professor.md,yes,yes,0.001
reports/final_package/RELEASE_NOTES_v1.0-pilot-ftv-pcr.md,yes,yes,0.0007
reports/figures/340_stage10d_master_methods_panel.png,yes,yes,1.4231
reports/figures/342_stage10d_final_pipeline_and_model_result.png,yes,yes,0.1263
reports/figures/260_phase8d_baseline_vs_ftv_metrics.png,yes,yes,0.0583
reports/figures/300_phase9c_model_decision.png,yes,yes,0.0511
reports/tables/phase8c_ftv_model_performance.csv,yes,yes,0.0008
reports/tables/phase8d_baseline_vs_ftv_model_comparison.csv,yes,yes,0.0004
reports/tables/phase9c_model_decision_summary.csv,yes,yes,0.0003
reports/tables/stage10i_post_release_polish_qc.csv,yes,yes,0.0006
